Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20
2025-07-23,1128.01,1132.95,1123.06,1132.95,29747757,0.0,0.0,1129.98,1091.15
2025-07-24,1137.9,1142.85,1132.95,1132.95,15055463,0.0,0.0,1132.95,1094.61
2025-07-25,1137.9,1142.85,1128.01,1132.95,22476546,0.0,0.0,1130.97,1097.83
2025-07-28,1142.85,1147.8,1132.95,1132.95,20606376,0.0,0.0,1129.98,1102.03
2025-07-29,1132.95,1132.95,1113.16,1123.06,31763255,0.0,0.0,1130.97,1104.51
2025-07-30,1137.9,1147.8,1132.95,1142.85,34182363,0.0,0.0,1132.95,1107.97
2025-07-31,1147.8,1152.74,1142.85,1147.8,33230751,0.0,0.0,1135.92,1111.43
2025-08-04,1118.11,1123.06,1113.16,1123.06,23939021,0.0,0.0,1133.94,1113.91
2025-08-05,1132.95,1137.9,1128.01,1137.9,17012960,0.0,0.0,1134.93,1117.37
2025-08-06,1118.11,1123.06,1113.16,1113.16,22023406,0.0,0.0,1132.95,1119.6
2025-08-07,1147.8,1167.58,1142.85,1167.58,61370031,0.0,0.0,1137.9,1124.05
2025-08-08,1167.58,1172.53,1157.69,1162.64,25958258,0.0,0.0,1140.87,1127.76
2025-08-11,1157.69,1182.43,1152.74,1167.58,35579367,0.0,0.0,1149.77,1131.72
2025-08-12,1167.58,1177.48,1157.69,1167.58,28917167,0.0,0.0,1155.71,1135.92
2025-08-13,1172.53,1187.37,1172.53,1187.37,37809952,0.0,0.0,1170.55,1140.37
2025-08-14,1172.53,1177.48,1162.64,1162.64,32991791,0.0,0.0,1169.56,1142.6
2025-08-15,1162.64,1172.53,1157.69,1167.58,22231552,0.0,0.0,1170.55,1145.07
2025-08-18,1157.69,1172.53,1157.69,1167.58,18219895,0.0,0.0,1170.55,1146.31
2025-08-19,1167.58,1172.53,1162.64,1172.53,17867547,0.0,0.0,1171.54,1148.04
2025-08-20,1152.74,1152.74,1123.06,1123.06,66982023,0.0,0.0,1158.68,1148.29
2025-08-21,1128.01,1142.85,1128.01,1137.9,23424804,0.0,0.0,1153.73,1148.54
2025-08-22,1142.85,1142.85,1123.06,1123.06,19205763,0.0,0.0,1144.83,1148.04
2025-08-25,1152.74,1167.58,1147.8,1157.69,25103514,0.0,0.0,1142.85,1149.28
2025-08-26,1152.74,1172.53,1147.8,1162.64,35508897,0.0,0.0,1140.87,1150.76
2025-08-27,1177.48,1177.48,1167.58,1177.48,21952558,0.0,0.0,1151.75,1153.48
2025-08-28,1172.53,1172.53,1147.8,1147.8,19975237,0.0,0.0,1153.73,1153.73
2025-08-29,1167.58,1172.53,1147.8,1147.8,19522740,0.0,0.0,1158.68,1153.73
2025-09-01,1137.9,1152.74,1132.95,1152.74,22018940,0.0,0.0,1157.69,1155.22
2025-09-02,1157.69,1162.64,1142.85,1147.8,14037411,0.0,0.0,1154.72,1155.71
2025-09-03,1142.85,1147.8,1132.95,1147.8,19511981,0.0,0.0,1148.79,1157.44
2025-09-04,1157.69,1162.64,1147.8,1147.8,24333323,0.0,0.0,1148.79,1156.45
2025-09-05,1162.64,1167.58,1157.69,1167.58,27133819,0.0,0.0,1152.74,1156.7
2025-09-08,1182.43,1182.43,1167.58,1167.58,27281959,0.0,0.0,1155.71,1156.7
2025-09-09,1182.43,1187.37,1177.48,1187.37,31329096,0.0,0.0,1163.63,1157.69
2025-09-10,1207.16,1217.06,1202.22,1212.11,39665156,0.0,0.0,1176.49,1158.93
2025-09-11,1241.8,1246.74,1222.01,1226.95,30345708,0.0,0.0,1192.32,1162.14
2025-09-12,1241.8,1246.74,1236.85,1246.74,26492972,0.0,0.0,1208.15,1166.1
2025-09-15,1246.74,1246.74,1236.85,1241.8,24589707,0.0,0.0,1222.99,1169.81
2025-09-16,1256.7,1276.57,1251.73,1271.6,40130070,5.0,0.0,1239.84,1174.76
2025-09-17,1261.66,1266.63,1256.7,1256.7,29283972,0.0,0.0,1248.76,1181.45
2025-09-18,1266.63,1276.57,1256.7,1276.57,24191307,0.0,0.0,1258.68,1188.38
2025-09-19,1276.57,1281.53,1256.7,1256.7,44913316,0.0,0.0,1260.67,1195.06
2025-09-22,1261.66,1286.5,1261.66,1286.5,28859955,0.0,0.0,1269.61,1201.5
2025-09-23,1311.34,1331.2,1306.37,1331.2,33953781,0.0,0.0,1281.53,1209.93
2025-09-24,1341.14,1346.11,1316.3,1331.2,44737182,0.0,0.0,1296.43,1217.62
2025-09-25,1311.34,1321.27,1311.34,1311.34,25861812,0.0,0.0,1303.39,1225.79
2025-09-26,1301.4,1306.37,1286.5,1291.47,25793295,0.0,0.0,1310.34,1232.98
2025-09-30,1301.4,1311.34,1296.43,1296.43,36642789,0.0,0.0,1312.33,1240.16
2025-10-01,1316.3,1341.14,1316.3,1316.3,33837323,0.0,0.0,1309.35,1248.59
2025-10-02,1351.07,1361.01,1346.11,1356.04,29593487,0.0,0.0,1314.32,1259.0
2025-10-03,1356.04,1390.81,1356.04,1390.81,31032341,0.0,0.0,1330.21,1271.15
2025-10-07,1410.68,1435.52,1410.68,1425.58,38395572,0.0,0.0,1357.03,1284.05
2025-10-08,1400.75,1410.68,1395.78,1405.71,23064494,0.0,0.0,1378.89,1295.96
2025-10-09,1430.55,1445.45,1420.61,1430.55,39052134,0.0,0.0,1401.74,1308.12
2025-10-13,1380.88,1410.68,1380.88,1405.71,53850992,0.0,0.0,1411.67,1317.8
2025-10-14,1445.45,1450.42,1410.68,1415.65,39889256,0.0,0.0,1416.64,1327.23
2025-10-15,1425.58,1455.38,1415.65,1455.38,41056405,0.0,0.0,1422.6,1337.66
2025-10-16,1455.38,1485.19,1455.38,1475.25,37737678,0.0,0.0,1436.51,1349.33
2025-10-17,1445.45,1455.38,1440.48,1440.48,38077331,0.0,0.0,1438.49,1357.78
2025-10-20,1450.42,1485.19,1445.45,1470.29,33015553,0.0,0.0,1451.41,1368.46
2025-10-21,1475.25,1490.15,1470.29,1470.29,34601251,0.0,0.0,1462.34,1378.14
2025-10-22,1450.42,1460.35,1445.45,1450.42,27360948,0.0,0.0,1461.35,1387.83
2025-10-23,1430.55,1445.45,1425.58,1440.48,23570046,0.0,0.0,1454.39,1395.53
2025-10-27,1490.15,1490.15,1470.29,1470.29,32851952,0.0,0.0,1460.35,1402.48
2025-10-28,1470.29,1480.22,1460.35,1465.32,28381919,0.0,0.0,1459.36,1409.19
2025-10-29,1485.19,1505.06,1480.22,1495.12,30631103,0.0,0.0,1464.33,1418.38
2025-10-30,1505.06,1510.02,1490.15,1495.12,27867757,0.0,0.0,1473.27,1428.56
2025-10-31,1505.06,1514.99,1490.15,1490.15,31928423,0.0,0.0,1483.2,1438.25
2025-11-03,1500.09,1510.02,1480.22,1500.09,29118770,0.0,0.0,1489.16,1447.44
2025-11-04,1510.02,1514.99,1485.19,1495.12,33925673,0.0,0.0,1495.12,1454.39
2025-11-05,1470.29,1475.25,1445.45,1450.42,56305422,0.0,0.0,1486.18,1457.37
2025-11-06,1460.35,1470.29,1455.38,1455.38,27411394,0.0,0.0,1478.23,1458.86
2025-11-07,1450.42,1455.38,1445.45,1450.42,20329390,0.0,0.0,1470.29,1461.1
2025-11-10,1460.35,1475.25,1455.38,1465.32,25281744,0.0,0.0,1463.33,1462.83
2025-11-11,1480.22,1485.19,1455.38,1455.38,22444166,0.0,0.0,1455.38,1465.32
2025-11-12,1460.35,1475.25,1450.42,1465.32,23642502,0.0,0.0,1458.36,1467.8
2025-11-13,1450.42,1460.35,1450.42,1450.42,21255597,0.0,0.0,1457.37,1467.55
2025-11-14,1415.65,1430.55,1415.65,1420.61,26861702,0.0,0.0,1451.41,1464.82
2025-11-17,1440.48,1450.42,1435.52,1435.52,26602730,0.0,0.0,1445.45,1464.57
2025-11-18,1425.58,1425.58,1395.78,1395.78,42198432,0.0,0.0,1433.53,1460.85
2025-11-19,1390.81,1405.71,1385.84,1385.84,35591948,0.0,0.0,1417.63,1456.63
2025-11-20,1440.48,1450.42,1430.55,1445.45,25964403,0.0,0.0,1416.64,1456.38
2025-11-21,1385.84,1395.78,1375.91,1375.91,54518246,0.0,0.0,1407.7,1453.15
2025-11-24,1390.81,1395.78,1365.98,1365.98,79134658,0.0,0.0,1393.79,1447.93
2025-11-25,1415.65,1415.65,1395.78,1405.71,27427405,0.0,0.0,1395.78,1444.95
2025-11-26,1420.61,1430.55,1415.65,1430.55,29213211,0.0,0.0,1404.72,1441.72
2025-11-27,1440.48,1445.45,1420.61,1425.58,22039774,0.0,0.0,1400.75,1438.25
2025-11-28,1430.55,1445.45,1425.58,1430.55,23152513,0.0,0.0,1411.67,1435.27
2025-12-01,1435.52,1435.52,1400.75,1400.75,30559208,0.0,0.0,1418.63,1430.3
2025-12-02,1420.61,1430.55,1410.68,1420.61,23544477,0.0,0.0,1421.61,1426.58
2025-12-03,1430.55,1440.48,1425.58,1440.48,20301540,0.0,0.0,1423.59,1426.08
2025-12-04,1435.52,1440.48,1420.61,1435.52,20696944,0.0,0.0,1425.58,1425.08
2025-12-05,1435.52,1450.42,1430.55,1450.42,21072604,0.0,0.0,1429.56,1425.08
2025-12-08,1455.38,1485.19,1450.42,1485.19,24257260,0.0,0.0,1446.44,1426.08
2025-12-09,1485.19,1490.15,1470.29,1470.29,24235825,0.0,0.0,1456.38,1426.82
2025-12-10,1480.22,1495.12,1475.25,1495.12,23319221,0.0,0.0,1467.31,1428.31
2025-12-11,1505.09,1510.07,1460.24,1465.22,28924982,5.0,0.0,1473.25,1429.05
2025-12-12,1470.2,1480.17,1465.22,1475.19,22107664,0.0,0.0,1478.2,1431.78
2025-12-15,1445.28,1450.27,1440.3,1445.28,25889058,0.0,0.0,1470.22,1432.27
2025-12-16,1430.33,1440.3,1420.37,1430.33,32168064,0.0,0.0,1462.23,1434.0
2025-12-17,1430.33,1440.3,1420.37,1425.35,30535812,0.0,0.0,1448.27,1435.97
2025-12-18,1415.38,1430.33,1410.4,1425.35,30534136,0.0,0.0,1440.3,1434.97
2025-12-19,1450.27,1450.27,1425.35,1425.35,38763280,0.0,0.0,1430.33,1437.44
2025-12-22,1460.24,1465.22,1450.27,1460.24,22661665,0.0,0.0,1433.32,1442.15
2025-12-23,1470.2,1485.15,1465.22,1485.15,20739075,0.0,0.0,1444.29,1446.13
2025-12-24,1490.14,1495.12,1480.17,1490.14,12987261,0.0,0.0,1457.25,1449.11
2025-12-26,1500.11,1505.09,1490.14,1505.09,18823612,0.0,0.0,1473.19,1453.08
2025-12-29,1510.07,1525.02,1505.09,1525.02,21124648,0.0,0.0,1493.13,1457.8
2025-12-30,1510.07,1525.02,1505.09,1515.06,20325400,0.0,0.0,1504.09,1463.52
2025-12-31,1515.06,1544.96,1510.07,1544.96,29695967,0.0,0.0,1516.05,1469.74
2026-01-02,1549.94,1579.85,1539.98,1579.85,37512761,0.0,0.0,1534.0,1476.71
2026-01-05,1624.7,1689.49,1619.72,1664.57,66871820,0.0,0.0,1565.89,1488.16
2026-01-06,1639.65,1699.46,1639.65,1699.46,46751692,0.0,0.0,1600.78,1500.61
